titel;description;Dier (etc niet allen in beschrijving);lng;lat
2 hondjes;Dit kunstwerk heeft momenteel nog geen beschrijving.;hond;4,844241144;52,36401767
A happy dog from Bagdad /De droom van een hond;Dit kunstwerk heeft momenteel nog geen beschrijving.;hond;4,861675502;52,36339528
Aap en gier;Dit kunstwerk heeft momenteel nog geen beschrijving.;gier, aap;4,879260501;52,3513971
Animaris Rhinoceros Transport;Dit kunstwerk heeft momenteel nog geen beschrijving.;neushoorn;4,771514597;52,35488857
Arenden;Dit kunstwerk heeft momenteel nog geen beschrijving.;arend;4,874711201;52,3510432
Baksteenreliëf Eend in de golven;Dit kunstwerk heeft momenteel nog geen beschrijving.;eend;4,806346895;52,36218322
Barmhartige Samaritaan;Dit kunstwerk heeft momenteel nog geen beschrijving.;ezel;4,838190201;52,3714139
Beertje;Dit kunstwerk heeft momenteel nog geen beschrijving.;beer;4,838170501;52,3625152
Bestrating met beesten;Dit kunstwerk heeft momenteel nog geen beschrijving.;varken, paard, ezel, ETC;4,937269438;52,3680978
Bladmotieven en merel;Dit kunstwerk heeft momenteel nog geen beschrijving.;merel, vogel;4,866771699;52,38199784
Bokkenrijder;Dit kunstwerk heeft momenteel nog geen beschrijving.;bok, schaap;4,920931505;52,36010707
Brug 404;Dit kunstwerk heeft momenteel nog geen beschrijving.;slang, vis, mythisch?;4,891236016;52,34821415
Bull;Dit kunstwerk heeft momenteel nog geen beschrijving.;etc;4,976594001;52,294194
Corned Beef;Dit kunstwerk heeft momenteel nog geen beschrijving.;koe, rund;4,942466265;52,36822866
Dansende Beer;Dit kunstwerk heeft momenteel nog geen beschrijving.;beer;4,919579191;52,35732263
De blauwe vogel van het geluk;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel;0;0
De geboorte van de daad;Dit kunstwerk heeft momenteel nog geen beschrijving.;paard;4,899559022;52,34918262
De Goede Herder;Dit kunstwerk heeft momenteel nog geen beschrijving.;schaap;4,836498601;52,3671845
De mens in de schepping;Dit kunstwerk heeft momenteel nog geen beschrijving.;leeuw;4,899516107;52,34920884
De raaf;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel, raaf;4,862458707;52,3540583
De slak;Dit kunstwerk heeft momenteel nog geen beschrijving.;slak;4,995365001;52,29973
De Slang;Dit kunstwerk heeft momenteel nog geen beschrijving.;slang;4,865956308;52,36435835
Dierenfontein;Dit kunstwerk heeft momenteel nog geen beschrijving.;schildpad, rat, kikker, slak, tor, salamander;4,883235001;52,351279
Dierfiguren, Basisschool de Ark;Dit kunstwerk heeft momenteel nog geen beschrijving.;hond, dromedaris;4,874712001;52,326743
Droombeeld;Dit kunstwerk heeft momenteel nog geen beschrijving.;hond of een fantasiebeest;4,877586366;52,3788543
Dubbeltjespanden;Dit kunstwerk heeft momenteel nog geen beschrijving.;olifant, kat, vogel, etc?;4,912176134;52,36085319
Eekhoorns en uilen;Dit kunstwerk heeft momenteel nog geen beschrijving.;eekhoorn, uil;4,862808301;52,3532069
Erkerversieringen;Dit kunstwerk heeft momenteel nog geen beschrijving.;papegaai, ram, schaap;4,911320457;52,35891988
Ezeltje (Kost en de Baat);Dit kunstwerk heeft momenteel nog geen beschrijving.;ezel;4,801232001;52,3466925
Fata Morgana;Dit kunstwerk heeft momenteel nog geen beschrijving.;dromedaris;4,916025999;52,34920119
Figure découpée l'Oiseau;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel, vis;4,868020965;52,35745942
Gevelmozaïek, Twee vissen;Dit kunstwerk heeft momenteel nog geen beschrijving.;vis;4,872345601;52,3233203
"Gevelstenen ""dierfiguren""";Dit kunstwerk heeft momenteel nog geen beschrijving.;koe, konijn, ezel;4,904395001;52,3455359
Gevelstenen Cornelis Schuytstraat 67-69 - Hacquartstraat 30-32 en 19-27;Dit kunstwerk heeft momenteel nog geen beschrijving.;duif, aap, gier, fries? Etc?;0;0
Gevelstenen Koninginneweg 2;Dit kunstwerk heeft momenteel nog geen beschrijving.;leeuw;4,862808301;52,3532069
Gevleugeld paard;Dit kunstwerk heeft momenteel nog geen beschrijving.;paard;4,780684501;52,3597135
Haan;Dit kunstwerk heeft momenteel nog geen beschrijving.;haan;4,821448401;52,3559655
Haan;Dit kunstwerk heeft momenteel nog geen beschrijving.;haan;4,875386955;52,38994084
Haan op zuil;Dit kunstwerk heeft momenteel nog geen beschrijving.;haan;4,875802697;52,38604973
Het kompas;Dit kunstwerk heeft momenteel nog geen beschrijving.;ijsbeer, koala, walrus, etc?;4,890837191;52,35718089
Het orgel - Zonder titel;Dit kunstwerk heeft momenteel nog geen beschrijving.;reiger;4,974612595;52,29293265
Hildo;Dit kunstwerk heeft momenteel nog geen beschrijving.;hond;4,872533084;52,33729264
Hond;Dit kunstwerk heeft momenteel nog geen beschrijving.;hond;4,838190201;52,3714139
Hondje;Dit kunstwerk heeft momenteel nog geen beschrijving.;hond;4,848532357;52,37543209
In Gesprek;Dit kunstwerk heeft momenteel nog geen beschrijving.;paard;0;0
India;Dit kunstwerk heeft momenteel nog geen beschrijving.;olifant;4,831007802;52,37056797
Jongen met haan;Dit kunstwerk heeft momenteel nog geen beschrijving.;haan;4,812416001;52,37259
Jongen met haan;Dit kunstwerk heeft momenteel nog geen beschrijving.;haan;4,802381001;52,353957
Jongen, meisje, vogels;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel;4,832758001;52,382048
Kangoeroe met jong;Dit kunstwerk heeft momenteel nog geen beschrijving.;kangaroe kangoeroe;4,906682801;52,350182
Keramische panelen;Dit kunstwerk heeft momenteel nog geen beschrijving.;paard , nogmeer? etc?;0;0
Kinderbrug;Dit kunstwerk heeft momenteel nog geen beschrijving.;paard, konijn, eekhoorn, vis, kat, poes, vogel, lam, slak, slakkenhuis, hond, bizon meer?etc?;4,886017091;52,34738803
Koi fish;Dit kunstwerk heeft momenteel nog geen beschrijving.;vis, koi, karper;4,914370896;52,35375773
Land, water, licht;Dit kunstwerk heeft momenteel nog geen beschrijving.;vis, vogel;4,847423794;52,34038312
Leda en de zwaan;Dit kunstwerk heeft momenteel nog geen beschrijving.;zwaan, vogel?;4,852853062;52,375119
Leeszaal, gevelsteen;Dit kunstwerk heeft momenteel nog geen beschrijving.;slang?;4,899029901;52,350586
Leeuwen;Dit kunstwerk heeft momenteel nog geen beschrijving.;leeuw;4,908074512;52,35798831
Leeuwen Beatrixpark Artsenijhof;Dit kunstwerk heeft momenteel nog geen beschrijving.;leeuw;4,885150195;52,34106186
Leeuwen Beatrixpark bij toegang RAI;Dit kunstwerk heeft momenteel nog geen beschrijving.;leeuw;4,885075094;52,34159281
Man en schaap;Dit kunstwerk heeft momenteel nog geen beschrijving.;schaap, lol, favo;4,95165825;52,36616651
Man met bizons;Dit kunstwerk heeft momenteel nog geen beschrijving.;bizon;4,861904301;52,3480283
Man met ketting & man met slang;Dit kunstwerk heeft momenteel nog geen beschrijving.;slang?;4,885159801;52,3461019
Man op ram;Dit kunstwerk heeft momenteel nog geen beschrijving.;ram;4,879781401;52,349448
Manegedeuren - Zonder titel;Dit kunstwerk heeft momenteel nog geen beschrijving.;paard;0;0
Maskerkop en vis;Dit kunstwerk heeft momenteel nog geen beschrijving.;vis, meerdere dieren etc?;4,869811501;52,3497018
Meisje op Pony;Dit kunstwerk heeft momenteel nog geen beschrijving.;pony, (paard);4,819987001;52,3552435
Mensfiguur en Roofvogel;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel;4,899287209;52,34992694
Metaalreliëf Vogel;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel;4,779997601;52,3563979
Mini Wereld;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel, paard, etc?;4,838170501;52,3625152
Moeder Aarde;Dit kunstwerk heeft momenteel nog geen beschrijving.;bok, vogel, slang, eekhoorn, paard;4,890861901;52,3584616
Monument Indië Nederland;Dit kunstwerk heeft momenteel nog geen beschrijving.;leeuw, duif, slang, vogel, tijger;4,86557007;52,35012634
Monument politiehond 'Albert';Dit kunstwerk heeft momenteel nog geen beschrijving.;hond;4,919426144;52,36042895
Mosselbestekjurk (1998);Dit kunstwerk heeft momenteel nog geen beschrijving.;mossel;4,933771901;52,4007936
Mozartbrug;Dit kunstwerk heeft momenteel nog geen beschrijving.;slang;4,884710313;52,34957584
Muurschildering West;Dit kunstwerk heeft momenteel nog geen beschrijving.;vlinder, etc?;4,878546001;52,387508
N.L.I;Dit kunstwerk heeft momenteel nog geen beschrijving.;vis;4,891182101;52,3509656
Nationaal Monument;Dit kunstwerk heeft momenteel nog geen beschrijving.;hond, duif, leeuw;4,893738629;52,37279252
Arbeid en vrije tijd;Dit kunstwerk heeft momenteel nog geen beschrijving.;mythologisch?;4,879260501;52,3513971
Bevrijde Vogel;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel? Abstract?;4,827542201;52,351216
Cedille;Dit kunstwerk heeft momenteel nog geen beschrijving.;mythisch? Draak?;4,776245001;52,3559278
Centaur;Dit kunstwerk heeft momenteel nog geen beschrijving.;mythisch? Centaur?;4,873698201;52,3473827
Cyclus der seizoenen;Dit kunstwerk heeft momenteel nog geen beschrijving.;etc? hond?;4,899387361;52,3487894
Danspaar;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel?;4,867265226;52,37593977
De beschermster van de sociale wetgeving en gerechtigheid;Dit kunstwerk heeft momenteel nog geen beschrijving.;LAM? ETC?;4,875489301;52,3505543
De dames en de muze;Dit kunstwerk heeft momenteel nog geen beschrijving.;een vogel? Een dier?;4,845158001;52,379385
De Grote Steigerende;Dit kunstwerk heeft momenteel nog geen beschrijving.;paard? Etc?;0;0
De IJsbreker;Dit kunstwerk heeft momenteel nog geen beschrijving.;is daar een vis ofzo?;4,906667001;52,3574431
De Kleine Kameleon;Dit kunstwerk heeft momenteel nog geen beschrijving.;kameleon? Ander dier? Vis?;4,831148001;52,377708
De oogst;Dit kunstwerk heeft momenteel nog geen beschrijving.;haan? Etc?;4,898346501;52,3493373
De Scheppende Hand & Chaos;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel?;4,825437701;52,3626468
De Schoone Stad aan het IJ;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel?;4,868292001;52,366623
Descartes;Dit kunstwerk heeft momenteel nog geen beschrijving.;komen mss dieren in voor etc?;4,876196624;52,3779542
Donkey;Dit kunstwerk heeft momenteel nog geen beschrijving.;zie ook bull? Ezel?;4,976474001;52,294196
Familie Woezel;Dit kunstwerk heeft momenteel nog geen beschrijving.;woezel? Etc?;4,891587497;52,41704629
Fluitspelende faun;Dit kunstwerk heeft momenteel nog geen beschrijving.;kannietgoedzien? Etc?;4,943135901;52,3922416
Fontein-Krugerplein;Dit kunstwerk heeft momenteel nog geen beschrijving.;dieren etc?;4,920047115;52,3538211
Gedenkteken bevrijding Weesperkwartier;Dit kunstwerk heeft momenteel nog geen beschrijving.;leeuw? Etc?;4,91136432;52,35181276
Gedenkteken Maria Montessori;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel? Kan niet zien. Etc;4,879781401;52,349448
Gedichtenroute;Dit kunstwerk heeft momenteel nog geen beschrijving.;iets over hond? Etc;4,875140191;52,38110064
Gevel en portieken;Dit kunstwerk heeft momenteel nog geen beschrijving.;iets over hond? Etc;4,922581201;52,3574788
Gevelreliëf Vlucht van Kennis;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel? Etc?;4,827875401;52,346366
"Gevelsteen ""Man bij vuur""";Dit kunstwerk heeft momenteel nog geen beschrijving.;kip? Etc?;4,900975229;52,34126506
Gevelsteen Gerrit van der Veenstraat 32;Dit kunstwerk heeft momenteel nog geen beschrijving.;paard? Etc?;4,874731201;52,3489496
Gevelstenen Apollolaan 105;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel, slang? Etc?;4,877205101;52,3502352
Gevelstenen Berlage Lyceum, Handjeklap;Dit kunstwerk heeft momenteel nog geen beschrijving.;kalf, koe? Etc;4,899462463;52,34925471
Gevelstenen Mendes da Costa;Dit kunstwerk heeft momenteel nog geen beschrijving.;aap, pelikaan, eekhoorn, uil, adelaar, etc?;4,864470101;52,3550797
Gevelstenen, huis Apollolaan, Muziek;Dit kunstwerk heeft momenteel nog geen beschrijving.;tekkel, hond, etc?;4,876856805;52,35092587
Gevelstenen, Villa den Tex;Dit kunstwerk heeft momenteel nog geen beschrijving.;tekkel, hond? Dierenriem;4,875489301;52,3505543
Glasplastiek 'Vijf wolken';Dit kunstwerk heeft momenteel nog geen beschrijving.;krab? Microben?;4,921614382;52,36296915
Haasje over;Dit kunstwerk heeft momenteel nog geen beschrijving.;not sure etc?;4,87468958;52,38956108
Hemelvaart en Zondeval;Dit kunstwerk heeft momenteel nog geen beschrijving.;leeuw? Slang? Etc?;4,858142001;52,322252
Herder en Maaier;Dit kunstwerk heeft momenteel nog geen beschrijving.;hond? Schaap? Etc?;4,946435401;52,3398773
Het Beest;Dit kunstwerk heeft momenteel nog geen beschrijving.;etc?;4,807433001;52,375156
Honingraat;Dit kunstwerk heeft momenteel nog geen beschrijving.;bij?;4,883020001;52,333897
Huis met de kabouters;Dit kunstwerk heeft momenteel nog geen beschrijving.;adelaar. Meer? Etc?;4,904325301;52,3558632
Iconische ornamenten;Dit kunstwerk heeft momenteel nog geen beschrijving.;dieren etc?;4,836645001;52,369507
Inrichting openbare ruimte;Dit kunstwerk heeft momenteel nog geen beschrijving.;slang?;4,921241701;52,3475343
Jonas en de walvis;Dit kunstwerk heeft momenteel nog geen beschrijving.;walvis?;4,895095826;52,37441693
Keramisch reliëf 'boomfiguur';Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel? Etc?;4,906036601;52,3441925
Keramisch wandreliëf;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel? Etc?;4,806046487;52,36133148
Love Sphinx;Dit kunstwerk heeft momenteel nog geen beschrijving.;sfinx?;4,811185001;52,381125
Man met zwaard;Dit kunstwerk heeft momenteel nog geen beschrijving.;vogel? Etc?;4,868781601;52,3510946
Microbe;Dit kunstwerk heeft momenteel nog geen beschrijving.;microbe? Etc?;4,87165332;52,36424698
43 gevelsteentjes;Dit kunstwerk heeft momenteel nog geen beschrijving.;;4,942566601;52,3411763
Albert Plesman;Dit kunstwerk heeft momenteel nog geen beschrijving.;Zwaluw;4,837503601;52,3628023
Amphitrite;Dit kunstwerk heeft momenteel nog geen beschrijving.;dolfijn, zeepaard, paard;4,937644483;52,37707741
