name;description;latinName;family;class;size;weight;rangeContinent;rangeCountry
hond;De hond (Canis lupus familiaris) is een gedomesticeerde ondersoort van de wolf. De hond is een roofdier uit de familie van de hondachtigen (Canidae). De hond komt op alle continenten voor, meestal in gezelschap van de mens. Al sinds duizenden jaren wordt de hond gebruikt voor bewakingstaken, bij de jacht, als herdershond en als trekdier. Nog steeds heeft hij werk als politiehond of hulphond, maar de meeste honden worden tegenwoordig gehouden als gezelschapsdier. (Wikipedia);Canis lupus familiaris;hondachtigen;zoogdieren;15cm - 70cm;3kg - 40kg;allemaal;overal
gier;De gieren van de Oude Wereld zijn roofvogels die horen in de familie van de havikachtigen (Accipitridae). Gieren onderscheiden zich in ecologische zin van de andere soorten roofvogels omdat het aaseters zijn. (Wikipedia);o.a. Gypaetus barbatus;havikachtigen;vogels;95cm - 110cm;6kg - 11kg;Europa, Afrika, Azië;meerdere landen
aap;De apen (Simiiformes, ook wel Simiae of Anthropoidea) zijn een infraorde uit de orde der primaten (Primates). Alle primaten die niet tot de infraorde van de apen behoren worden halfapen genoemd. Een groep halfapen, de spookdiertjes, wordt beschouwd als de nauwste verwant van de apen en samen worden ze geplaatst in de onderorde Haplorhini. (Wikipedia);Simiiformes;primaten;zoogdieren;max. 1,7 m;max. 180 kg;Afrika, Azië;meerdere landen
neushoorn;"De neushoorns (Rhinocerotidae) zijn een familie van grote zoogdieren die heden ten dage vijf soorten telt die voorkomen in Afrika en Azië. De neushoorn heeft een krom naar achteren groeiende hoorn net achter het beweeglijke deel van de neus; drie soorten hebben daarachter nog een kleinere stomp; bij de Javaanse en de Indische neushoorn ontbreekt die. Er zijn nog vijf soorten neushoorns, waarvan de meeste in meerdere of mindere mate bedreigd worden in hun voortbestaan door handel in producten van de hoorn. (Wikipedia)";Rhinocerotidae;neushoorns;zoogdieren;1.75 - 2.0 m;tot 2,500–3,200 kg;Afrika, Azië;meerdere landen
arend;Arenden of adelaars zijn dagactieve, middelgrote tot grote roofvogels met meestal brede vleugels, stevige snavel en scherpe klauwen (nagels). Arenden werden en worden veel gebruikt als symbool door landen en organisaties, omdat ze macht, schoonheid en onafhankelijkheid zouden uitstralen. (Wikipedia);o.a. Haliaeetus leucocephalus;havikachtigen;vogels;tot 100cm;tot 6,7kg;Europa, Azië, Afrika, Noord-Amerika, Zuid-Amerika, Oceanië;meerdere landen
eend;"Eend is de algemene naam voor een aantal soorten vogels uit de familie van eendachtigen (Anatidae). Alle soorten uit de Anatidae worden ""eenden"" genoemd, behalve de soorten uit de onderfamilie Anserinae, de ganzen en zwanen. Eenden zijn hoofdzakelijk aquatische vogels, meestal kleiner dan hun verwanten, de zwanen en de ganzen, met een kortere nek, en kunnen in zowel zoet als zout water worden gevonden. De Tadorninae, waartoe onder andere de bergeend behoort, houden qua formaat het midden tussen een gans en een eend. (Wikipedia)";o.a. Anas platyrhynchos;eendachtigen;vogels;51 - 62cm;tot 1500 gram;Noord-Amerika, Europa, Azië, Oceanië, Afrika;meerdere landen
ezel;Ezels hebben lange oren, een pluim aan het eind van de staart, en een groot uithoudingsvermogen. Ze hebben een grijze of bruinachtige vacht. De meeste wilde ezels vertonen de typische wildkleur, met een aalstreep. Deze aalstreep is ook bij de meeste gedomesticeerde ezels nog te zien. De onderzijde, de snuit en de flanken vertonen lichtere kleuren. Het geluid dat ezels maken noemt men: balken. (Wikipedia);Equus africanus asinus;paardachtigen;zoogdieren;95 - 140 cm;80 - 480 kg ;allemaal;meerdere landen
beer;Beren (Ursidae) vormen een familie binnen de orde der roofdieren (Carnivora). Ze behoren net als de hondachtigen, zeeroofdieren, kleine beren en marterachtigen tot de onderorde Caniformia. De familie omvat acht soorten in vijf geslachten. De eerste beren waren niet groot, maar ze hebben zich ontwikkeld tot grote landroofdieren: de Kodiakbeer (een ondersoort van de bruine beer) en de ijsbeer zijn de grootste landroofdieren op aarde. Huidige beren zijn groot, met stevige, korte ledematen en een kleine staart. (Wikipedia);o.a. Ursus arctos horribilis;beren;zoogdieren;tot 3 meter;tot 600kg;Noord-Amerika, Zuid-Amerika, Europa, Azië;meerdere landen
varken;Het (tamme) varken (Sus scrofa domesticus, Sus scrofa domestica, Sus domesticus of Sus domestica) is een gedomesticeerd wild zwijn en behoort tot de familie der varkens (Suidae). Varkens werden 5000 tot 6000 jaar geleden gedomesticeerd. Met de wetenschappelijke naam Sus scrofa wordt het everzwijn of wilde zwijn aangeduid. In Nederland leven ruim 20 miljoen en in België 6,7 miljoen varkens. (Wikipedia);Sus scrofa domesticus;varkens;zoogdieren;0,9 - 1,8 meter;50 - 350kg;meerdere continenten;meerdere landen
paard;Het paard (Equus ferus caballus) is een gedomesticeerd hoefdier uit de orde der onevenhoevigen, een van de ongeveer tien huidige soorten uit de familie der paardachtigen (Equidae). Het gedomesticeerde paard wordt voornamelijk gehouden als rij- en trekdier. (Wikipedia);Equus ferus caballus;paardachtigen;zoogdieren;tot ca 1,73 m;tot 600kg;meerdere continenten;meerdere landen
merel;De merel (Turdus merula)  is een vogel uit de familie lijsters (Turdidae). De naam komt van het Latijnse woord voor merel, merula. De merel is één van de bekendste soorten van deze lijsterfamilie en daarmee een typisch voorbeeld van een zangvogel. De soort Turdus merula is nog eens verder opgedeeld in enkele ondersoorten. Zo leeft op de Canarische Eilanden de T. merula cabrerae. T. merula azorensis (op de Azoren) is kleiner en donkerder. Hier heeft het vrouwtje ook vaak een helder gekleurde snavel. T. merula mauritanicus (te vinden in Noordwest-Afrika) is grijzer dan de nominaat ondersoort T. merula merula uit Noordwest-Europa. Vaak verdeelt men de merels ook onder in twee groepen: stads- en bosmerels. (Wikipedia);Turdus merula;lijsters;vogels;24-25 centimeter;80 - 110 gram;Europa, Azië, Oceanië;meerdere landen
